Timestamp,Alpha,Beta,Theta,Delta
1700951963,-0.050989231,0.02313226,-0.007724109,-0.188039323
1700951963,-0.116607631,0.041915055,-0.107942537,-0.268890374
1700951963,-0.06981483,-0.08784624,-0.205119366,-0.260732446
1700951963,-0.154482642,-0.133953767,-0.179261313,-0.283499523
1700951963,-0.159962807,-0.015261297,-0.257211507,-0.185798644
1700951964,-0.089379579,0.035211231,-0.328429339,-0.144614213
1700951964,-0.26441902,-0.035589262,-0.291102323,-0.239279652
1700951964,-0.331113878,-0.035326193,-0.08012432,-0.302624768
1700951964,-0.141609545,-0.102067295,-0.01696154,-0.244058073
1700951964,-0.150562983,-0.073706647,-0.079287872,-0.064320527
1700951965,-0.207542792,-0.017407126,-0.231411308,-0.044980664
1700951965,-0.312331937,-0.092266945,-0.350044841,-0.067094554
1700951965,-0.320064528,-0.168975873,-0.110238874,-0.172270276
1700951965,-0.515372484,-0.249624604,-0.039458442,-0.281923479
1700951965,-0.448754168,-0.264741684,-0.112096499,-0.187560751
1700951966,-0.18558217,-0.292612001,-0.232346479,-0.319960977
1700951966,-0.134837287,-0.270288731,-0.144105299,-0.257295081
1700951966,-0.208401552,-0.318969004,-0.224742844,-0.502668359
1700951966,-0.055547015,-0.256623928,-0.370331884,-0.286503766
1700951966,0.014113585,-0.223466736,-0.236177423,-0.173685424
1700951967,-0.148605783,-0.262953311,0.054654263,-0.131296378
1700951967,-0.238353521,-0.235793165,0.122142332,-0.181766157
1700951967,-0.251079819,-0.172722738,0.08104398,-0.333282775
1700951967,-0.163000321,-0.200949758,-0.115252079,-0.463709594
1700951968,-0.031750299,-0.200473766,-0.311141013,-0.313030893
1700951968,-0.041974233,-0.143094551,-0.193526115,-0.125400916
1700951968,-0.014658204,-0.098002832,-0.015958664,-0.242418094
1700951968,-0.166458192,-0.1277397,-0.015400633,-0.060056301
1700951968,-0.298224588,-0.196402801,-0.235511344,-0.180562792
1700951968,-0.083410001,-0.25844747,-0.261368096,-0.295423733
1700951969,-0.070678503,-0.213161514,-0.131114383,-0.509502673
1700951969,-0.181924052,-0.232395689,0.012415124,-0.364365135
1700951969,-0.1097592,-0.300944299,0.070860346,-0.325706897
1700951969,-0.21761422,-0.365330996,-0.045534776,-0.342900185
1700951969,-0.604577059,-0.373357145,-0.274474802,-0.268652255
1700951970,-0.293349065,-0.336259642,-0.329713742,-0.15021292
1700951970,-0.171216017,-0.203088218,-0.201551868,-0.298994584
1700951970,-0.132849291,-0.153821508,-0.114996337,-0.375597293
1700951970,-0.185087949,-0.2707338,-0.099118356,-0.595233379
1700951970,-0.255297238,-0.397008677,-0.093546791,-0.539341915
1700951971,-0.202570861,-0.269443774,-0.131819155,-0.616458751
1700951971,-0.210346073,-0.255040251,-0.446760876,-0.574191876
1700951971,-0.322009947,-0.26649439,-0.346573291,-0.529398622
1700951971,-0.387672606,-0.184430692,-0.190436488,-0.516887106
